物件名,賃料,管理費,敷金,礼金,仲介金,所在地,部屋の階数,間取り,面積,アクセス1,URL
誰も知らない私の幸せ,"176,000円","管理費12,000円",なし,なし,1.1ヶ月,東京都杉並区,405号室,1LDK,52.17㎡,中野富士見町駅 徒歩2分(東京地下鉄方南支線),https://www.goodrooms.jp/tokyo/detail/001/1001321117/
淡さのなかの居心地,"102,000円","管理費15,000円",なし,なし,0.55ヶ月,東京都世田谷区,1階,2K,28.88㎡,代田橋駅 徒歩4分(京王電鉄京王線),https://www.goodrooms.jp/tokyo/detail/001/1001326207/
森に佇む木のおうち。,"135,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,204号室,1LDK,53.51㎡,天空橋駅 徒歩3分(京浜急行電鉄空港線),https://www.goodrooms.jp/tokyo/detail/001/1001320034/
心から好きと言って,"112,000円","管理費12,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都荒川区,101号室,1LDK,40.01㎡,町屋駅 徒歩10分(東京地下鉄千代田線),https://www.goodrooms.jp/tokyo/detail/001/1001339956/
甘えたのフミフミ,"113,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都中野区,103号室,1LDK,35.46㎡,富士見台駅 徒歩4分(西武池袋・豊島線),https://www.goodrooms.jp/tokyo/detail/001/1000794610/
ルクレ西馬込,"163,000円","管理費12,000円",なし,なし,なし,東京都大田区,3階,1LDK,45.78㎡,西馬込駅 徒歩3分(東京都浅草線),https://www.goodrooms.jp/tokyo/detail/001/1000274566/
数学的美しさ,"139,000円","管理費10,000円",なし,なし,1.1ヶ月,東京都中野区,301号室,1LDK,37.36㎡,鷺ノ宮駅 徒歩3分(西武鉄道新宿線),https://www.goodrooms.jp/tokyo/detail/001/1001202301/
いいなぁって思うの,"125,000円","管理費10,000円",1ヶ月,1ヶ月,なし,東京都渋谷区,401号室,1LDK,30.99㎡,渋谷駅 徒歩7分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1000966802/
おとぎ話の国から,"100,000円","管理費5,000円",2ヶ月,なし,1.1ヶ月,東京都中野区,201号室,1LDK,34.8㎡,新中野駅 徒歩2分(東京地下鉄丸ノ内線),https://www.goodrooms.jp/tokyo/detail/001/1000661759/
木漏れ日降り注ぐ,"143,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都中野区,B102号室,1LDK,37.26㎡,落合駅 徒歩1分(東京地下鉄東西線),https://www.goodrooms.jp/tokyo/detail/001/1000072288/
ビーフシチューの隠し味,"104,500円","管理費15,000円",なし,1ヶ月,なし,東京都豊島区,410号室,2K,25.88㎡,池袋駅 徒歩14分(山手線),https://www.goodrooms.jp/tokyo/detail/001/1000873420/
デュードミール板橋,"110,000円",管理費なし,なし,なし,1.1ヶ月,東京都板橋区,403号室,2LDK,48.98㎡,新板橋駅 徒歩4分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1001338762/
庭石を眺めるように,"147,000円","管理費15,000円",1ヶ月,なし,1.1ヶ月,東京都台東区,203号室,1LDK,32.07㎡,浅草橋駅 徒歩4分(東京都浅草線),https://www.goodrooms.jp/tokyo/detail/001/1001341723/
